# Citizen Ledger — counties — COMPLETE LAYER EXPORT
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Data generated: 2026-07-24
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A county serves the whole county, including residents of every city inside it. County and city figures must not be added.
# Function columns: exp_police_musd = Police protection (sheriff); exp_detention_musd = Detention & correction; exp_judicial_musd = Judicial; exp_fire_musd = Fire protection; exp_protectionOther_musd = Other public protection; exp_streets_musd = Public ways & facilities; exp_health_musd = Health; exp_sanitation_musd = Sanitation; exp_assistance_musd = Public assistance; exp_education_musd = Education; exp_recreation_musd = Recreation & cultural; exp_admin_musd = General government; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_detention_musd,exp_judicial_musd,exp_fire_musd,exp_protectionOther_musd,exp_streets_musd,exp_health_musd,exp_sanitation_musd,exp_assistance_musd,exp_education_musd,exp_recreation_musd,exp_admin_musd,exp_debt_musd,exp_capital_musd
san-benito,San Benito,,2021-22,65479,139.848,123.09,7.794,14.008,6.093,2.017,10.011,3.25,16.35,0,27.226,1.919,0.228,14.493,2.87,16.832
san-benito,San Benito,,2022-23,65666,153.578,144.38,9.007,14.514,6.423,2.179,9.019,11.088,16.505,0,26.931,10.24,0.19,16.165,3.454,18.664
san-benito,San Benito,,2023-24,65853,182.35,179.908,10.056,15.208,7.224,2.32,9.708,8.246,21.585,0,27.676,6.567,0.225,24.938,3.751,42.405
san-bernardino,San Bernardino,,2016-17,2160256,3106.786,2943.423,360.864,336.101,186.127,2.089,52.583,71.222,383.281,0,1149.296,19.388,15.278,140.856,113.72,112.618
san-bernardino,San Bernardino,,2017-18,2174938,3195.058,3043.19,382.908,348.034,190.659,2.168,46.821,63.926,422.611,0,1190.576,20.249,14.899,149.335,113.27,97.735
san-bernardino,San Bernardino,,2018-19,2192203,3806.622,3567.116,391.152,398.631,200.123,199.638,75.583,70.252,490.605,0,1243.632,21.567,22.009,172.528,126.546,154.85
san-bernardino,San Bernardino,,2019-20,2180537,4008.145,3868.944,410.686,421.221,212.791,192.403,82.231,90.159,516.672,0,1346.279,21.791,22.292,269.475,123.753,159.191
san-bernardino,San Bernardino,,2020-21,2182343,4652.148,4079.273,421.387,448.595,216.615,209.73,178.497,77.294,619.532,0,1347.43,20.242,22.891,267.037,128.518,121.505
san-bernardino,San Bernardino,,2021-22,2187665,4672.443,4162.251,443.961,460.793,223.148,224.175,104.034,89.863,631.533,0,1395.735,22.47,23.095,222.851,180.638,139.955
san-bernardino,San Bernardino,,2022-23,2182056,5008.536,4539.943,488.684,494.783,232.762,258.465,116.945,130.819,612.402,0,1542.452,24.116,27.847,250.846,130.744,229.077
san-bernardino,San Bernardino,,2023-24,2181433,5658.458,5068.608,552.899,531.545,252.011,277.726,130.205,140.57,671.169,0,1662.872,24.74,30.432,273.305,146.91,374.223
san-diego,San Diego,,2016-17,3316192,3941.701,3820.711,373.344,445.281,393.343,41.4,113.357,122.248,618.376,6.458,988.346,34.639,28.061,512.091,143.768,0
san-diego,San Diego,,2017-18,3337456,4419.76,4308.081,454.155,463.778,406.011,32.003,120.741,97.736,743.585,6.625,1181.997,43.234,37.545,302.956,152.609,265.104
san-diego,San Diego,,2018-19,3351786,4657.152,4503.598,516.88,505.706,377.887,40.054,128.977,89.186,850.253,7.374,1280.893,45.707,42.852,282.027,152.146,183.654
san-diego,San Diego,,2019-20,3343355,5148.363,5083.693,549.412,520.464,400.22,46.108,136.648,108.703,966.495,7.43,1424.282,46.571,46.081,353.493,205.265,272.521
san-diego,San Diego,,2020-21,3288503,5611.341,5829.822,526.813,509.407,414.248,44.454,138.808,83.439,1296.503,7.758,1782.212,50.553,44.753,388.138,155.573,387.162
san-diego,San Diego,,2021-22,3287306,5821.482,5764.825,574.309,552.732,409.541,59.629,133.807,96.298,1189.461,9.85,1770.936,56.462,52.659,413.951,191.858,253.33
san-diego,San Diego,,2022-23,3269755,6448.685,6041.895,604.256,614.651,445.639,75.71,145.433,94.722,1252.144,13.228,1764.332,57.779,59.94,391.388,192.679,329.993
san-diego,San Diego,,2023-24,3291101,6886.873,6826.446,704.136,685.301,493.14,84.561,193.553,114.909,1383.847,21.808,1911.485,64.053,66.026,459.599,201.449,442.579
san-joaquin,San Joaquin,,2016-17,746868,951.139,939.688,73.13,118.885,88.556,0,28.523,45.016,160.236,-0.026,344.862,5.129,5.688,48.9,9.028,11.761
san-joaquin,San Joaquin,,2017-18,758744,1155.144,1088.651,76.964,124.232,95.377,0,39.868,30.616,189.514,-0.132,388.956,6.908,5.682,57.923,18.037,54.707
san-joaquin,San Joaquin,,2018-19,770385,1169.305,1087.422,84.207,135.885,102.344,0,30.929,36.741,179.775,0.01,387.144,6.794,5.478,54.192,8.553,55.371
san-joaquin,San Joaquin,,2019-20,773632,1291.413,1178.438,86.063,140.908,115.357,0,32.334,36.16,227.906,0.001,418.918,7.788,5.247,54.374,8.364,45.018
san-joaquin,San Joaquin,,2020-21,782372,1515.562,1279.246,61.262,117.581,106.364,0,108.923,39.693,257.776,0.001,430.609,7.451,5.83,90.129,8.311,45.316
san-joaquin,San Joaquin,,2021-22,784298,1541.138,1410.145,101.067,150.722,118.388,0,52.368,42.295,248.272,0,459.764,7.798,6.289,123.07,8.296,91.817
san-joaquin,San Joaquin,,2022-23,786145,1642.569,1430.8,113.024,164.974,135.299,0,55.125,44.651,262.96,0,481.998,8.626,7.208,74.701,13.071,69.163
san-joaquin,San Joaquin,,2023-24,791408,1797.641,1640.847,121.596,183.317,136.058,0,44.128,51.395,337.761,0,536.403,8.201,8.343,96.969,15.052,101.624
san-luis-obispo,San Luis Obispo,,2016-17,280101,523.535,492.394,35.114,44.358,33.56,19.205,23.326,27.002,88.331,0.729,120.914,11.141,9.929,49.049,14.306,15.431
san-luis-obispo,San Luis Obispo,,2017-18,280101,539.256,587.857,38.751,46.064,35.108,20.221,24.86,34.871,93.14,0.847,131.843,11.623,10.357,58.199,65.313,16.659
san-luis-obispo,San Luis Obispo,,2018-19,280393,585.02,535.979,38.527,49.536,36.928,24.832,29.815,31.672,98.563,0.794,134.45,11.995,10.541,50.934,8.141,9.251
san-luis-obispo,San Luis Obispo,,2019-20,277259,587.291,591.729,41.156,53.336,39.13,24.172,41.111,40.548,104.423,0.851,143.294,12.749,11.551,50.101,19.052,10.255
san-luis-obispo,San Luis Obispo,,2020-21,279710,674.256,598.039,42.761,51.537,40.188,21.109,37.276,33.303,113.959,0.801,141.267,13.261,10.976,59.52,15.667,16.415
san-luis-obispo,San Luis Obispo,,2021-22,280721,675.795,668.38,47.262,55.711,41.637,25.038,33.372,35.712,123.221,1.851,150.315,13.391,12.077,60.452,16.486,51.855
san-luis-obispo,San Luis Obispo,,2022-23,278348,752.175,764.771,50.256,60.168,43.792,29.378,40.243,55.979,129.51,2.11,170.072,14.18,16.129,67.191,28.838,56.925
san-luis-obispo,San Luis Obispo,,2023-24,278469,814.296,783.088,51.475,65.081,46.805,29.14,41.844,51.55,141.148,1.744,194.141,13.846,14.268,67.629,35.035,29.382
san-mateo,San Mateo,,2016-17,770203,1331.234,1188.677,133.93,129.763,89.416,7.383,35.052,23.981,279.765,1.696,245.959,0.172,15.018,119.782,52.532,54.227
san-mateo,San Mateo,,2017-18,774155,1442.128,1284.951,141.495,132.523,84.926,8.637,36.856,26.264,312.413,2.105,271.994,0,15.301,147.296,52.206,52.933
san-mateo,San Mateo,,2018-19,774485,1717.194,1386.925,156.198,134.034,91.813,12.202,40.969,25.682,312.236,23.304,304.187,0,16.103,136.357,51.991,81.848
san-mateo,San Mateo,,2019-20,773244,1731.923,1463.722,154.972,134.233,97.357,14.133,42.411,27.9,329.46,21.915,283.203,0,20.022,153.285,58.83,126.002
san-mateo,San Mateo,,2020-21,751596,1795.743,1741.539,162.314,133.698,96.403,14.261,43.496,26.633,345.447,24.986,294.102,0,18.666,399.024,57.769,124.74
san-mateo,San Mateo,,2021-22,744662,2011.917,1789.366,166.591,127.709,98.582,14.299,48.55,26.826,376.179,30.09,309.784,0,21.336,295.457,58.899,215.065
san-mateo,San Mateo,,2022-23,737644,2132.605,1792.317,177.616,132.708,101.003,16.772,50.79,29.275,384.415,29.296,332.903,0,21.194,193.662,70.92,251.763
san-mateo,San Mateo,,2023-24,741565,2317.94,1944.19,186.217,129.396,106.682,17.254,51.913,28.75,413.013,28.405,423.59,0,21.881,187.832,75.864,273.393
santa-barbara,Santa Barbara,,2016-17,450663,793.189,782.849,75.226,98.876,70.571,0,28.968,21.554,185.412,0,173.499,3.615,13.985,69.8,5.873,35.47
santa-barbara,Santa Barbara,,2017-18,453457,822.025,807.069,85.516,100.44,72.31,0,30.096,29.08,179.554,0,164.712,3.906,14.084,73.82,5.838,47.714
santa-barbara,Santa Barbara,,2018-19,454593,987.278,931.644,81.059,103.337,75.322,68.837,55.842,33.354,185.399,0.217,173.893,3.866,14.208,74.906,5.801,55.603
santa-barbara,Santa Barbara,,2019-20,451840,1007.973,959.36,86.083,110.468,78.299,78.446,52.807,34.794,204.481,0.178,180.41,4.106,15.038,77.203,5.7,31.348
santa-barbara,Santa Barbara,,2020-21,443674,1129.924,1041.684,87.005,116.977,77.998,78.636,59.508,48.988,214.666,0.221,204.717,4.494,15.524,82.434,5.947,44.57
santa-barbara,Santa Barbara,,2021-22,445164,1158.397,1115.738,93.135,127.37,85.312,86.578,60.133,53.417,218.638,0.275,226.783,4.69,16.257,79.244,7.23,56.676
santa-barbara,Santa Barbara,,2022-23,440557,1249.228,1205.393,93.294,141.97,85.319,88.004,75.074,49.401,234.735,0.251,234.958,4.669,18.007,96.257,8.32,75.133
santa-barbara,Santa Barbara,,2023-24,443623,1332.221,1313.189,98.53,147.564,92.447,101.049,79.859,60.958,251.712,0.181,249.394,4.927,22.126,106.5,9.926,88.016
santa-clara,Santa Clara,,2016-17,1938180,3185.935,2908.614,162.1,435.017,269.663,0.631,29.739,64.347,582.095,0,865.126,0,46.059,295.001,70.593,88.245
santa-clara,Santa Clara,,2017-18,1956598,3343.549,3082.172,170.369,458.729,277.978,0.538,27.516,44.324,627.334,0,912.775,0,50.045,252.289,98.102,162.173
santa-clara,Santa Clara,,2018-19,1954286,3874.915,3669.626,172.278,476.712,291.317,131.399,27.993,47.156,695.579,0,975.131,48.311,50.183,269.142,165.479,318.947
santa-clara,Santa Clara,,2019-20,1961969,4110.792,3787.152,179.861,443.804,308.567,134.154,27.888,49.221,786.316,0,1052.803,53.154,51.121,320.315,182.193,197.757
santa-clara,Santa Clara,,2020-21,1907693,4486.809,4276.303,178.97,450.155,312.421,141.402,33.516,47.772,835.818,0,1224.396,53.957,55.308,493.711,185.208,263.669
santa-clara,Santa Clara,,2021-22,1894783,4846.805,4494.896,187.123,457.833,322.057,150.481,40.66,51.886,938.089,0,1256.044,55.31,59.257,416.772,212.71,346.673
santa-clara,Santa Clara,,2022-23,1886079,5197.986,4742.653,205.749,492.893,344.91,158.137,42.124,53.579,1013.493,0.196,1309.53,56.423,61.327,285.775,301.16,417.358
santa-clara,Santa Clara,,2023-24,1903198,5648.056,5303.358,216.839,528.325,376.549,165.25,47.877,59.247,1124.546,0.21,1422.59,66.958,63.344,327.744,298.294,605.585
santa-cruz,Santa Cruz,,2016-17,276603,487.615,496.697,36.482,53.417,35.58,3.128,16.506,28.729,122.641,0,129.388,5.535,8.382,45.969,8.431,2.508
santa-cruz,Santa Cruz,,2017-18,276864,522.193,533.817,38.261,55.307,37.575,2.421,17.731,30.537,133.066,0,125.705,5.655,8.803,33.811,8.026,36.92
santa-cruz,Santa Cruz,,2018-19,274871,583.713,564.193,42.643,59.504,38.318,5.698,24.596,37.064,142.485,0,134.096,5.753,10.381,34.113,8.51,21.033
santa-cruz,Santa Cruz,,2019-20,271233,602.143,620.3,46.063,62.346,40.742,6.011,23.447,35.591,163.909,0,149.18,5.519,10.616,42.346,13.378,21.152
santa-cruz,Santa Cruz,,2020-21,266553,719.712,715.996,45.271,70.611,38.975,7.795,29.145,69.01,181.768,0,193.538,5.459,9.79,42.566,8.803,13.265
santa-cruz,Santa Cruz,,2021-22,266564,725.385,836.67,139.737,86.588,49.284,7.97,29.122,36.918,195.811,0,178.874,5.606,10.467,40.18,19.524,36.589
santa-cruz,Santa Cruz,,2022-23,262051,802.496,829.404,49.231,65.166,43.899,8.66,33.161,69.48,214.56,0,182.921,6.671,13.682,75.197,23.384,43.393
santa-cruz,Santa Cruz,,2023-24,262572,888.328,892.548,50.806,74.012,47.388,9.001,34.896,99.168,240.95,0,189.051,7.168,15.297,54.561,28.646,41.602
shasta,Shasta,,2016-17,178605,296.232,288.556,22.882,30.795,23.569,0,10.17,16.959,51.501,0,113.427,1.583,0.191,9.592,2.961,4.926
shasta,Shasta,,2017-18,178271,332.833,312.399,21.314,32.166,25.248,6.058,10.668,16.241,61.982,0,119.097,1.559,0.145,8.51,2.963,6.449
shasta,Shasta,,2018-19,178773,350.654,330.442,21.586,33.302,24.631,4.418,10.854,24.631,68.847,0,120.437,1.59,0.175,13.932,2.964,3.076
shasta,Shasta,,2019-20,178045,349.207,348.641,20.521,35.017,25.393,3.522,11.623,18.729,73.208,0,131.444,1.681,0.212,13.599,2.965,10.728
shasta,Shasta,,2020-21,182020,416.627,388.894,23.293,38.703,26.979,3.316,13.002,18.181,96.284,0,132.164,1.762,0.177,15.553,3.847,15.633
shasta,Shasta,,2021-22,180531,410.483,407.697,25.355,40.91,27.99,2.177,13.336,23.729,95.195,0,139.788,1.775,0.194,21.132,3.666,12.45
shasta,Shasta,,2022-23,179436,458.785,439.991,28.669,44.033,31.69,4.955,13.492,22.633,101.142,0,152.529,1.859,0.317,21.754,3.695,13.225
shasta,Shasta,,2023-24,179195,480.783,466.771,31.511,50.457,33.209,4.456,14.947,21.859,101.854,0,168.143,1.923,0.272,23.984,3.185,10.97
sierra,Sierra,,2016-17,3207,18.001,17.993,2.962,0.708,0.399,0,0.909,4.121,3.215,0,2.324,0.046,0.211,2.519,0.577,0
sierra,Sierra,,2017-18,3207,22.262,20.033,2.678,0.868,0.476,0,0.996,3.829,4.679,0,2.532,0.045,0.189,3.152,0.588,0
sierra,Sierra,,2018-19,3213,20.94,20.62,2.727,0.9,0.476,0,0.948,3.735,4.681,0,2.657,0.046,0.348,3.524,0.579,0
sierra,Sierra,,2019-20,3201,24.155,23.204,2.919,0.685,0.409,0,0.853,4.796,4.817,0,4.042,0.052,0.261,3.754,0.617,0
sierra,Sierra,,2020-21,3225,26.179,23.619,3.144,0.748,0.524,0,0.86,5.056,4.878,0,3.526,0.042,0.203,3.732,0.633,0.271
sierra,Sierra,,2021-22,3229,25.479,44.656,7.104,1.481,0.816,0,2.441,7.946,10.024,0,5.306,0.074,0.498,7.383,0.885,0.698
sierra,Sierra,,2022-23,3193,28.836,26.213,2.823,0.745,0.545,0,1.439,5.51,5.592,0,2.983,0.176,0.349,3.578,1.688,0.784
sierra,Sierra,,2023-24,3171,40.32,38.44,4.495,0.869,0.494,0,1.664,7.324,5.911,0,3.534,0.154,0.347,4.371,2.304,6.971
siskiyou,Siskiyou,,2016-17,44688,87.048,89.425,8.088,9.325,7.655,0.348,5.197,8.856,15.072,0,20.883,0.687,0.119,10.019,1.833,1.344
siskiyou,Siskiyou,,2017-18,44612,99.54,96.599,8.866,10.028,8.429,0.338,5.999,9.683,16.44,0,23.399,0.82,0.139,9.089,1.751,1.618
siskiyou,Siskiyou,,2018-19,44584,103.124,101.607,8.789,9.368,7.866,0.542,7.496,9.635,17.4,0,23.295,0.835,0.131,9.444,1.788,5.018
siskiyou,Siskiyou,,2019-20,44461,106.023,103.512,9.044,8.802,7.823,0.689,7.176,10.766,17.619,0,25.657,0.828,0.067,9.601,1.761,3.679
siskiyou,Siskiyou,,2020-21,43931,116.899,107.945,9.265,8.56,8.084,0.502,9.014,10.589,18.699,0,25.095,0.791,0.058,10.755,1.787,4.746
siskiyou,Siskiyou,,2021-22,43830,115.401,107.917,10.335,8.816,8.268,0.597,8.373,10.579,20.703,0,25.323,0.811,0.024,10.167,1.76,2.158
siskiyou,Siskiyou,,2022-23,43548,144.311,126.488,10.088,9.895,9.088,0.683,11.463,11.187,24.844,0,27.946,0.765,0.028,10.931,1.788,7.783
siskiyou,Siskiyou,,2023-24,43409,153.637,145.526,12.302,10.215,9.731,0.559,13.657,14.423,27.74,0,31.269,0.875,0.027,12.211,2.647,9.87
solano,Solano,,2016-17,436023,671.095,657.303,86.488,42.045,70.317,0,25.002,9.376,152.5,0,162.166,16.54,2.114,52.757,20.564,17.433
solano,Solano,,2017-18,439793,715.509,772.854,89.077,43.326,71.665,0,26.62,12.708,166.937,0,155.201,17.65,1.65,60.22,105.47,22.329
solano,Solano,,2018-19,441307,727.505,704.99,93.704,44.276,73.125,0,34.918,17.303,170.193,0,157.247,18.728,1.648,61.219,13.919,18.71
solano,Solano,,2019-20,440224,724.738,728.853,98.782,46.46,75.977,0,30.13,13.401,180.763,0,168.481,19.639,1.704,59.559,13.173,20.784
solano,Solano,,2020-21,449964,841.599,777.585,101.697,47.838,77.644,0,33.962,18.983,185.29,0,189.526,20.588,1.702,66.787,12.454,21.114
solano,Solano,,2021-22,447241,868.809,834.448,110.702,49.73,82.569,0,38.85,16.855,189.977,0,200.694,22.211,1.997,70.235,13.856,36.771
solano,Solano,,2022-23,443749,958.783,911.05,117.733,53.417,86.658,0,43.261,16.803,204.908,0,230.809,23.236,2.152,72.277,17.568,42.228
solano,Solano,,2023-24,446426,1047.912,1006.371,129.235,59.437,92.629,0,48.022,18.982,245.905,0,252.42,25.483,2.564,77.848,17.968,35.877
sonoma,Sonoma,,2016-17,505120,874.718,878.644,84.069,117.194,59.411,0,41.03,38.36,135.322,0,223.832,1.087,32.152,89.99,16.869,39.328
sonoma,Sonoma,,2017-18,503332,958.962,932.013,87.728,120.818,61.454,0,46.573,32.898,146.622,0,224.309,1.161,35.13,105.939,17.741,51.639
sonoma,Sonoma,,2018-19,500675,1019.024,939.072,87.882,123.999,64.308,8.816,55.81,35.227,141.142,0,231.593,1.132,27.189,88.28,15.376,58.319
sonoma,Sonoma,,2019-20,492980,1017.004,990.948,88.101,129.768,64.012,8.476,60.297,47.653,136.668,0,234.557,1.187,28.505,117.547,15.258,58.918
sonoma,Sonoma,,2020-21,484674,1365.785,1133.199,95.54,131.802,66.088,8.541,58.661,37.392,147.392,0,247.687,1.169,31.838,193.865,28.084,85.139
sonoma,Sonoma,,2021-22,482404,1241.369,1167.41,100.73,132.948,66.059,9.449,57.647,34.248,169.754,0,251.907,1.171,36.53,209.49,26.209,71.267
sonoma,Sonoma,,2022-23,478174,1275.391,1166.554,102.486,133.317,66.906,10.866,63.001,40.618,190.572,0,266.661,1.462,36.394,125.994,29.057,99.219
sonoma,Sonoma,,2023-24,478152,1382.423,1363.655,115.242,150.266,71.727,11.126,69.062,38.764,241.952,0,289.061,1.249,39.98,147.22,28.738,159.268
stanislaus,Stanislaus,,2016-17,548057,882.681,873.024,54.488,86.833,58.433,1.334,24.218,20.762,144.24,0,338.762,11.853,10.009,50.705,14.982,56.405
stanislaus,Stanislaus,,2017-18,555624,941.687,918.545,57.181,101.568,60.246,1.546,25.643,38.137,156.387,0,362.652,12.691,10.389,56.725,8.953,26.427
stanislaus,Stanislaus,,2018-19,558972,1001.873,978.457,60.173,129.361,63.201,1.653,30.751,48.547,154.594,0,383.066,12.834,12.581,54.462,6.332,20.902
stanislaus,Stanislaus,,2019-20,557709,1234.226,1208.434,65.993,133.433,66.936,1.787,32.564,57.979,165.493,0.011,426.004,12.62,8.301,205.343,6.165,25.805
stanislaus,Stanislaus,,2020-21,551737,1193.746,1157.903,68.485,136.715,65.919,1.99,38.137,62.299,176.341,0.022,325.842,12.117,7.252,222.363,6.846,33.575
stanislaus,Stanislaus,,2021-22,549466,1069.284,999.603,74.939,142.683,69.373,3.447,50.064,76.985,174.211,0.005,296.348,13.388,8.875,62.506,11.145,15.635
stanislaus,Stanislaus,,2022-23,545939,1147.351,1087.003,86.552,162.287,72.944,3.757,48.971,59.68,199.163,0.025,330.111,14.745,9.761,57.617,11.213,30.176
stanislaus,Stanislaus,,2023-24,548744,1209.101,1194.047,93.906,178.755,80.335,4.5,48.425,53.319,219.307,0.023,362.562,15.931,11.265,60.36,16.731,48.629
sutter,Sutter,,2016-17,96956,152.891,192.468,17.788,19.182,14.023,0.228,11.38,5.608,51.296,0.179,42.896,1.65,0.472,22.386,0.946,4.435
sutter,Sutter,,2017-18,97238,184.4,222.33,17.291,28.255,14.744,0.251,13.958,8.954,56.113,0,50.746,1.771,0.862,24.962,0.977,3.446
sutter,Sutter,,2018-19,97490,226.241,224.934,21.108,24.888,15.315,0.274,13.665,7.917,66.584,0,48.694,1.872,0.357,19.205,0.913,4.143
sutter,Sutter,,2019-20,100750,207.99,206.08,2.05,21.158,10.632,4.336,14.542,9.306,61.253,0,51.179,1.791,0.598,21.909,0.948,6.376
sutter,Sutter,,2020-21,98908,233.956,224.024,2.296,21.589,10.268,5.163,15.62,8.526,67.007,0,49.614,1.657,0.408,21.297,0.796,19.783
sutter,Sutter,,2021-22,99145,221.055,207.965,2.408,22.22,9.38,5.139,15.722,6.025,64.343,0,51.422,1.935,0.422,20.632,2.159,6.157
sutter,Sutter,,2022-23,98952,254.739,237.921,2.87,23.461,9.35,5.864,17.481,14.444,68.35,0,59.103,2.189,0.411,22.298,2.98,9.12
sutter,Sutter,,2023-24,100110,271.138,267.896,4.052,25.407,7.531,5.734,21.144,8.303,78.58,0,66.569,2.324,0.85,33.111,8.685,5.607
tehama,Tehama,,2016-17,63995,112.55,126.1,9.25,13.462,6.427,3.63,4.609,11.099,19.735,0,37.98,0.691,0.269,16.111,1.241,1.595
tehama,Tehama,,2017-18,64039,112.238,118.626,9.096,14.293,6.447,4.391,4.927,8.595,20.758,0.023,38.097,1.089,0.286,7.865,1.238,1.521
tehama,Tehama,,2018-19,64387,122.631,124.405,8.978,14.921,6.589,4.393,5.183,9.944,21.181,0.011,39.698,0.825,0.355,8.138,1.231,2.958
tehama,Tehama,,2019-20,65129,132.486,135.026,8.728,14.756,6.541,4.418,5.32,17.252,22.288,0,42.581,0.867,0.316,8.487,1.239,2.232
tehama,Tehama,,2020-21,65374,147.508,142.809,9.067,14.674,6.699,4.003,5.811,24.53,22.131,0.022,42.567,0.85,0.345,8.342,1.248,2.519
tehama,Tehama,,2021-22,65052,165.365,155.292,9.292,15.684,6.962,4.249,5.875,29.911,25.049,0.011,43.743,0.9,0.224,9.156,1.249,2.986
tehama,Tehama,,2022-23,64271,163.428,170.576,11.568,18.789,7.813,4.763,6.448,17.711,26.394,0,49.656,0.948,0.405,11.944,1.667,12.469
tehama,Tehama,,2023-24,64308,188.438,205.377,12.06,19.242,8.745,5.158,6.921,41.616,30.704,0.001,53.161,1.052,0.464,11.484,1.832,12.937
trinity,Trinity,,2016-17,13628,45.862,45.493,3.837,4.296,2.178,0.008,1.785,5.099,8.364,0,10.394,0.248,0,3.755,2.136,3.393
trinity,Trinity,,2017-18,13635,53.207,48.202,3.784,4.559,2.117,0.008,2.105,5.408,10.467,0,11.084,0.29,0,4.291,0.846,3.244
trinity,Trinity,,2018-19,13688,50.47,50.792,4.138,4.944,2.152,0.018,2.089,6.325,8.529,0,12.438,0.309,0,4.048,3.607,2.196
trinity,Trinity,,2019-20,13548,62.507,62.175,4.393,5.319,2.033,0.021,2.391,7.201,8.914,0,12.899,0.341,0,6.243,0.724,11.696
trinity,Trinity,,2020-21,16050,69.791,65.816,4.547,5.6,2.341,0.019,2.765,8.132,8.836,0,12.974,0.324,0,7.578,0.725,11.972
trinity,Trinity,,2021-22,16023,65.355,63.526,4.814,5.919,2.663,0.02,3.296,7.925,11.777,0,14.779,0.372,0,5.706,0.776,5.479
trinity,Trinity,,2022-23,15939,78.224,69.179,5.306,6.555,2.087,0.017,3.829,12.046,12.539,0,17.19,0.388,0,6.246,0.727,2.248
trinity,Trinity,,2023-24,15915,85.697,70.963,5.063,7.125,2.372,0.024,4.421,8.074,14.382,0,18.262,0.388,0,6.83,0.622,3.399
tulare,Tulare,,2016-17,471842,744.015,729.156,44.952,77.35,57.086,16.929,16.52,17.289,127.577,0,270.043,4.833,2.576,43.022,0.634,50.344
tulare,Tulare,,2017-18,475834,816.232,790.609,48.548,81.369,59.853,19.004,19.962,19.943,130.475,0,283.414,5.07,2.432,50.558,0.634,69.347
tulare,Tulare,,2018-19,479112,895.351,818.828,53.308,84.645,64.068,19.788,22.602,24.194,147.204,0,292.346,5.278,3.013,47.98,21.09,33.313
tulare,Tulare,,2019-20,479977,896.69,853.477,56.686,87.255,66.244,20.436,22.03,24.83,157.151,0,303.671,5.371,3.271,48.282,21.543,36.705
tulare,Tulare,,2020-21,474032,1007.618,922.089,57.876,88.172,67.295,24.832,23.902,23.888,199.671,0,296.593,5.998,2.554,67.859,22.868,40.582
tulare,Tulare,,2021-22,475014,1013.479,1046.664,66.6,96.04,67.587,25.759,24.733,28.27,191.637,0,299.015,6.544,3.046,60.604,33.298,143.531
tulare,Tulare,,2022-23,475064,1158.335,1111.551,65.909,98.979,69.242,33.935,27.667,36.97,227.196,0,347.895,6.936,3.68,73.888,35.852,83.402
tulare,Tulare,,2023-24,478918,1220.232,1180.118,74.139,109.077,74.728,30.113,30.14,24.615,249.968,0,374.314,7.574,3.889,84.697,35.361,81.503
tuolumne,Tuolumne,,2016-17,54707,118.896,121.561,14.401,11.044,4.167,4.198,7.15,6.839,15.037,0,20.707,1.106,1.59,17.505,0.933,16.884
tuolumne,Tuolumne,,2017-18,54740,123.281,128.584,14.191,11.616,4.399,4.104,8.665,6.484,17.006,0,21.463,1.223,1.712,16.584,1.345,19.792
tuolumne,Tuolumne,,2018-19,54590,146.759,155.223,14.469,12.271,4.708,4.889,11.107,8.4,16.696,0,22.875,1.237,1.755,18.678,2.48,35.658
tuolumne,Tuolumne,,2019-20,54917,148.528,146.003,14.704,12.81,4.107,4.898,9.18,14.82,16.873,0,24.293,0.966,1.609,17.712,2.291,21.74
tuolumne,Tuolumne,,2020-21,54791,142.745,140.808,15.982,13.102,5.117,4.487,9.799,14.012,22.261,0,26.65,0.786,0.624,18.936,2.315,6.735
tuolumne,Tuolumne,,2021-22,55291,168.157,166.422,16.904,14.262,5.091,4.758,16.532,10.365,15.518,0,29.06,1.058,0.976,24.957,2.342,24.599
tuolumne,Tuolumne,,2022-23,54590,187.09,183.324,17.798,15.818,5.847,6.448,23.684,10.576,20.357,0,29.471,1.236,1.26,26.851,2.372,21.608
tuolumne,Tuolumne,,2023-24,54407,188.812,191.904,20.451,18.09,6.337,10.218,20.989,12.693,23.559,0,31.418,1.293,1.507,26.08,2.395,16.875
ventura,Ventura,,2016-17,857386,1147.734,1117.506,167.616,174.607,115.309,0,36.248,26.864,217.415,0,267.32,8.57,0.147,62.216,20.95,20.243
