# Citizen Ledger — counties — COMPLETE LAYER EXPORT
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Data generated: 2026-07-24
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A county serves the whole county, including residents of every city inside it. County and city figures must not be added.
# Function columns: exp_police_musd = Police protection (sheriff); exp_detention_musd = Detention & correction; exp_judicial_musd = Judicial; exp_fire_musd = Fire protection; exp_protectionOther_musd = Other public protection; exp_streets_musd = Public ways & facilities; exp_health_musd = Health; exp_sanitation_musd = Sanitation; exp_assistance_musd = Public assistance; exp_education_musd = Education; exp_recreation_musd = Recreation & cultural; exp_admin_musd = General government; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_detention_musd,exp_judicial_musd,exp_fire_musd,exp_protectionOther_musd,exp_streets_musd,exp_health_musd,exp_sanitation_musd,exp_assistance_musd,exp_education_musd,exp_recreation_musd,exp_admin_musd,exp_debt_musd,exp_capital_musd
del-norte,Del Norte,,2016-17,27124,60.74,63.648,3.657,7.344,4.084,0,2.593,3.699,10.567,0,22.945,0.015,0.473,7.149,0.388,0.732
del-norte,Del Norte,,2017-18,27221,71.299,66.074,3.713,6.989,4.347,0,2.889,6.119,10.41,0,22.319,0.013,0.484,7.675,0.39,0.725
del-norte,Del Norte,,2018-19,27401,69.775,69.277,3.873,7.552,4.755,0,2.984,3.831,12.032,0,23.701,0.016,0.525,8.729,0.387,0.893
del-norte,Del Norte,,2019-20,27298,72.897,71.656,3.817,7.766,4.519,0,2.746,3.971,11.177,0,26.518,0.016,0.525,9.578,0.634,0.388
del-norte,Del Norte,,2020-21,27593,86.241,74.838,4.201,7.349,4.693,0,3.149,3.698,13.892,0,27.401,0.016,0.538,9.23,0.625,0.046
del-norte,Del Norte,,2021-22,27218,83.414,74.476,4.229,7.397,4.486,0,3.17,2.29,12.552,0,27.583,0.016,0.542,11.239,0.598,0.374
del-norte,Del Norte,,2022-23,26599,81.037,82.729,4.78,8.54,4.149,0,3.563,3.222,14.999,0,30.288,0.091,0.425,11.602,0.638,0.433
del-norte,Del Norte,,2023-24,26345,106.182,89.809,5.112,8.64,4.057,0,4.136,4.157,17.793,0,32.979,0.095,0.471,11.523,0.659,0.187
el-dorado,El Dorado,,2016-17,185062,317.643,310.075,35.436,31.719,23.219,0,27.622,33.855,32.14,0,61.214,3.25,0.968,43.034,0,17.618
el-dorado,El Dorado,,2017-18,188399,330.527,334.578,40.678,33.201,23.588,0,25.459,41.025,34.75,0,66.352,3.386,1.388,43.871,0,20.88
el-dorado,El Dorado,,2018-19,191848,401.459,408.499,41.591,33.947,24.01,0,29.299,48.505,57.493,7.372,69.808,3.442,1.128,47.187,0,44.717
el-dorado,El Dorado,,2019-20,193227,417.893,412.084,44.299,34.377,25.642,0,31.637,54.043,60.167,5.392,72.521,3.64,1.491,48.332,0,30.544
el-dorado,El Dorado,,2020-21,191054,473.617,404.711,37.339,35.039,25.686,0,32.285,44.921,64.034,5.558,73.783,3.408,1.902,64.999,1.077,14.682
el-dorado,El Dorado,,2021-22,190465,447.537,408.247,45.724,36.338,26.846,0,33.202,38.144,63.711,5.445,74.43,3.905,1.691,54.481,11.293,13.037
el-dorado,El Dorado,,2022-23,189006,523.087,508.752,53.439,41.184,29.761,0,40.353,78.872,72.701,5.871,83.674,4.172,1.486,60.476,5.867,30.895
el-dorado,El Dorado,,2023-24,188583,577.296,533.977,60.538,47.433,30.789,0,41.877,75.964,77.715,7.165,91.072,4.146,1.74,62.732,5.887,26.92
fresno,Fresno,,2016-17,995975,1458.06,1423.386,188.012,70.148,77.157,0,24.105,34.876,0.757,0,853.43,26.205,2.898,59.083,55.353,31.362
fresno,Fresno,,2017-18,1007229,1538.936,1531.376,198.202,76.417,81.277,0,27.409,46.448,0.931,0,930.656,25.881,4.453,45.764,58.089,35.849
fresno,Fresno,,2018-19,1018241,1649.011,1617.026,234.462,85.264,87.356,0,24.407,40.017,1.403,0,901.629,27.818,2.998,46.135,58.822,106.715
fresno,Fresno,,2019-20,1023358,1781.127,1754.319,252.914,88.524,98.724,0,26.995,67.73,1.049,0,968.621,28.87,3.25,54.559,38.621,124.462
fresno,Fresno,,2020-21,1009231,2032.18,1935.173,276.584,90.45,105.327,0,29.802,71.617,379.29,0,698.146,28.928,3.372,96.332,47.248,108.078
